Project,Property,Location/Type,Station #,Latitude,Longitude
HR,Hedrick Ranch,Channel,HR 1,34.36423467,-118.99709
HR,Hedrick Ranch,Channel,HR 2,34.36787828,-118.9960693
HR,Hedrick Ranch,Channel,HR 3,34.3678533,-118.9903282
HR,Hedrick Ranch,Channel,HR 4,34.369656,-118.9873669
HR,Hedrick Ranch,Channel,HR 5,34.36900531,-118.9927934
HR,Hedrick Ranch,Channel,HR 6,34.36751945,-119.0015194
HR,Hedrick Ranch,Channel,HR 7,34.36646232,-118.9987899
HR,Hedrick Ranch,Channel,HR 8,34.36442929,-119.0002546
HR,Hedrick Ranch,South Side,HR 9,34.3616196,-119.0014142
HR,Hedrick Ranch,South Side,HR10,34.35921407,-119.0016512
HR,Hedrick Ranch,South Side,HR11,34.3566783,-119.0049855
HR,Hedrick Ranch,South Side,HR12,34.35548245,-119.007395
HR,Hedrick Ranch,South Side,HR13,34.35827538,-119.0080048
HR,Hedrick Ranch,South Side,HR14,34.35916496,-118.998735
HR,Hedrick Ranch,South Side,HR15,34.36197205,-118.9987055
SP,Hedrick Ranch,MOWED +HERB,SP 1,34.355038,-119.01725
SP,Hedrick Ranch,MOWED +HERB,SP 2,34.355243,-119.014135
SP,Hedrick Ranch,CUT & DAUB,SP 3,34.356763,-119.012128
SP,Hedrick Ranch,CONTROL,SP 4,34.35584,-119.009627
SP,Hedrick Ranch,CUT & DAUB,SP 5,34.358122,-119.00904
SP,Hedrick Ranch,CONTROL,SP 6,34.358277,-119.006152
SP,Hedrick Ranch,CONTROL,SP 7,34.355858,-119.00579
SP,Hedrick Ranch,CONTROL,SP 8,34.358454,-119.003057
SP,Hedrick Ranch,CONTROL,SP 9,34.360343,-119.001678
SP,Hedrick Ranch,CONTROL,SP10,34.362499,-119.000511
SP,Hedrick Ranch,MOWED +HERB,SP11,34.364537,-118.998809
SP,Brucker,MOWED +HERB,SP12,34.363159,-118.996515
SP,Brucker,MOWED +HERB,SP13,34.363817,-118.992704
SP,Taylor,MOWED +HERB,SP14,34.365635,-118.991214
SP,VCWPD,MOWED +HERB,SP15,34.365423,-118.98762
